State FIPS Code,Name,State Abbreviation,Year,Annual Federal Minimum,Annual State Minimum,Annual Federal Average,Annual State Average,Annual Federal Maximum,Annual State Maximum
1,Alabama,AL,1989,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1990,3.35,3.349999905,3.689041096,3.689041138,3.8,3.799999952
1,Alabama,AL,1991,3.8,3.799999952,4.139041096,4.139040947,4.25,4.25
1,Alabama,AL,1992,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1993,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1994,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1995,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1996,4.25,4.25,4.37568306,4.375682831,4.75,4.75
1,Alabama,AL,1997,4.75,4.75,4.88369863,4.883698463,5.15,5.150000095
1,Alabama,AL,1998,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,1999,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2000,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2001,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2002,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2003,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2004,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2005,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2006,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
1,Alabama,AL,2007,5.15,5.150000095,5.458767123,5.458766937,5.85,5.849999905
1,Alabama,AL,2008,5.85,5.849999905,6.157923497,6.157923698,6.55,6.550000191
1,Alabama,AL,2009,6.55,6.550000191,6.858767123,6.858767033,7.25,7.25
1,Alabama,AL,2010,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2011,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2012,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2013,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2014,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2015,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2016,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,1974,2,2,2,2,2,2
5,Arkansas,AR,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
5,Arkansas,AR,1976,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
5,Arkansas,AR,1977,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
5,Arkansas,AR,1978,2.65,2.650000095,2.65,2.650000095,2.65,2.650000095
5,Arkansas,AR,1979,2.9,2.900000095,2.9,2.900000095,2.9,2.900000095
5,Arkansas,AR,1980,3.1,3.099999905,3.1,3.099999905,3.1,3.099999905
5,Arkansas,AR,1981,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1982,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1983,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1984,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1985,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1986,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1987,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1988,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1989,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
5,Arkansas,AR,1990,3.35,3.349999905,3.689041096,3.689041138,3.8,3.799999952
5,Arkansas,AR,1991,3.8,3.799999952,4.139041096,4.139040947,4.25,4.25
5,Arkansas,AR,1992,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1993,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1994,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1995,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1996,4.25,4.25,4.37568306,4.375682831,4.75,4.75
5,Arkansas,AR,1997,4.75,4.75,4.88369863,4.883698463,5.15,5.150000095
5,Arkansas,AR,1998,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,1999,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2000,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2001,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2002,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2003,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2004,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2005,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
5,Arkansas,AR,2006,5.15,5.150000095,5.15,5.427260399,5.15,6.25
5,Arkansas,AR,2007,5.15,6.25,5.458767123,6.25,5.85,6.25
5,Arkansas,AR,2008,5.85,6.25,6.157923497,6.381967068,6.55,6.550000191
5,Arkansas,AR,2009,6.55,6.550000191,6.858767123,6.858767033,7.25,7.25
5,Arkansas,AR,2010,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2011,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2012,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2013,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2014,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2015,7.25,7.5,7.25,7.5,7.25,7.5
5,Arkansas,AR,2016,7.25,8,7.25,8,7.25,8
4,Arizona,AZ,1974,2,2,2,2,2,2
4,Arizona,AZ,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
4,Arizona,AZ,1976,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
4,Arizona,AZ,1977,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
4,Arizona,AZ,1978,2.65,2.650000095,2.65,2.650000095,2.65,2.650000095
4,Arizona,AZ,1979,2.9,2.900000095,2.9,2.900000095,2.9,2.900000095
4,Arizona,AZ,1980,3.1,3.099999905,3.1,3.099999905,3.1,3.099999905
4,Arizona,AZ,1981,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1982,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1983,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1984,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1985,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1986,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1987,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1988,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1989,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
4,Arizona,AZ,1990,3.35,3.349999905,3.689041096,3.689041138,3.8,3.799999952
4,Arizona,AZ,1991,3.8,3.799999952,4.139041096,4.139040947,4.25,4.25
4,Arizona,AZ,1992,4.25,4.25,4.25,4.25,4.25,4.25
4,Arizona,AZ,1993,4.25,4.25,4.25,4.25,4.25,4.25
4,Arizona,AZ,1994,4.25,4.25,4.25,4.25,4.25,4.25
4,Arizona,AZ,1995,4.25,4.25,4.25,4.25,4.25,4.25
4,Arizona,AZ,1996,4.25,4.25,4.37568306,4.375682831,4.75,4.75
4,Arizona,AZ,1997,4.75,4.75,4.88369863,4.883698463,5.15,5.150000095
4,Arizona,AZ,1998,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,1999,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2000,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2001,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2002,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2003,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2004,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2005,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2006,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
4,Arizona,AZ,2007,5.15,6.75,5.458767123,6.75,5.85,6.75
4,Arizona,AZ,2008,5.85,6.900000095,6.157923497,6.900000095,6.55,6.900000095
4,Arizona,AZ,2009,6.55,7.25,6.858767123,7.25,7.25,7.25
4,Arizona,AZ,2010,7.25,7.25,7.25,7.25,7.25,7.25
4,Arizona,AZ,2011,7.25,7.349999905,7.25,7.349999905,7.25,7.349999905
4,Arizona,AZ,2012,7.25,7.650000095,7.25,7.650000095,7.25,7.650000095
4,Arizona,AZ,2013,7.25,7.800000191,7.25,7.800000191,7.25,7.800000191
4,Arizona,AZ,2014,7.25,7.900000095,7.25,7.900000095,7.25,7.900000095
4,Arizona,AZ,2015,7.25,8.050000191,7.25,8.050000191,7.25,8.050000191
4,Arizona,AZ,2016,7.25,8.050000191,7.25,8.050000191,7.25,8.050000191
6,California,CA,1974,2,2,2,2,2,2
6,California,CA,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
6,California,CA,1976,2.3,2.299999952,2.3,2.340983629,2.3,2.5
6,California,CA,1977,2.3,2.5,2.3,2.5,2.3,2.5
6,California,CA,1978,2.65,2.650000095,2.65,2.650000095,2.65,2.650000095
6,California,CA,1979,2.9,2.900000095,2.9,2.900000095,2.9,2.900000095
6,California,CA,1980,3.1,3.099999905,3.1,3.099999905,3.1,3.099999905
6,California,CA,1981,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1982,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1983,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1984,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1985,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1986,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1987,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
6,California,CA,1988,3.35,3.349999905,3.35,3.802459002,3.35,4.25
6,California,CA,1989,3.35,4.25,3.35,4.25,3.35,4.25
6,California,CA,1990,3.35,4.25,3.689041096,4.25,3.8,4.25
6,California,CA,1991,3.8,4.25,4.139041096,4.25,4.25,4.25
6,California,CA,1992,4.25,4.25,4.25,4.25,4.25,4.25
6,California,CA,1993,4.25,4.25,4.25,4.25,4.25,4.25
6,California,CA,1994,4.25,4.25,4.25,4.25,4.25,4.25
6,California,CA,1995,4.25,4.25,4.25,4.25,4.25,4.25
6,California,CA,1996,4.25,4.25,4.37568306,4.375682831,4.75,4.75
6,California,CA,1997,4.75,4.75,4.88369863,5.009726048,5.15,5.150000095
6,California,CA,1998,5.15,5.150000095,5.15,5.653013706,5.15,5.75
6,California,CA,1999,5.15,5.75,5.15,5.75,5.15,5.75
6,California,CA,2000,5.15,5.75,5.15,5.75,5.15,5.75
6,California,CA,2001,5.15,6.25,5.15,6.25,5.15,6.25
6,California,CA,2002,5.15,6.75,5.15,6.75,5.15,6.75
6,California,CA,2003,5.15,6.75,5.15,6.75,5.15,6.75
6,California,CA,2004,5.15,6.75,5.15,6.75,5.15,6.75
6,California,CA,2005,5.15,6.75,5.15,6.75,5.15,6.75
6,California,CA,2006,5.15,6.75,5.15,6.75,5.15,6.75
6,California,CA,2007,5.15,7.5,5.458767123,7.5,5.85,7.5
6,California,CA,2008,5.85,8,6.157923497,8,6.55,8
6,California,CA,2009,6.55,8,6.858767123,8,7.25,8
6,California,CA,2010,7.25,8,7.25,8,7.25,8
6,California,CA,2011,7.25,8,7.25,8,7.25,8
6,California,CA,2012,7.25,8,7.25,8,7.25,8
6,California,CA,2013,7.25,8,7.25,8,7.25,8
6,California,CA,2014,7.25,8,7.25,8.504109383,7.25,9
6,California,CA,2015,7.25,9,7.25,9,7.25,9
6,California,CA,2016,7.25,10,7.25,10,7.25,10
8,Colorado,CO,1974,2,2,2,2,2,2
8,Colorado,CO,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
8,Colorado,CO,1976,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
8,Colorado,CO,1977,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
8,Colorado,CO,1978,2.65,2.650000095,2.65,2.650000095,2.65,2.650000095
8,Colorado,CO,1979,2.9,2.900000095,2.9,2.900000095,2.9,2.900000095
8,Colorado,CO,1980,3.1,3.099999905,3.1,3.099999905,3.1,3.099999905
8,Colorado,CO,1981,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1982,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1983,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1984,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1985,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1986,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1987,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1988,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1989,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
8,Colorado,CO,1990,3.35,3.349999905,3.689041096,3.689041138,3.8,3.799999952
8,Colorado,CO,1991,3.8,3.799999952,4.139041096,4.139040947,4.25,4.25
8,Colorado,CO,1992,4.25,4.25,4.25,4.25,4.25,4.25
8,Colorado,CO,1993,4.25,4.25,4.25,4.25,4.25,4.25
8,Colorado,CO,1994,4.25,4.25,4.25,4.25,4.25,4.25
8,Colorado,CO,1995,4.25,4.25,4.25,4.25,4.25,4.25
8,Colorado,CO,1996,4.25,4.25,4.37568306,4.375682831,4.75,4.75
8,Colorado,CO,1997,4.75,4.75,4.88369863,4.909999847,5.15,5.150000095
8,Colorado,CO,1998,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,1999,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2000,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2001,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2002,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2003,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2004,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2005,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2006,5.15,5.150000095,5.15,5.150000095,5.15,5.150000095
8,Colorado,CO,2007,5.15,6.849999905,5.458767123,6.849999905,5.85,6.849999905
8,Colorado,CO,2008,5.85,7.019999981,6.157923497,7.019999981,6.55,7.019999981
8,Colorado,CO,2009,6.55,7.28000021,6.858767123,7.28000021,7.25,7.28000021
8,Colorado,CO,2010,7.25,7.25,7.25,7.25,7.25,7.25
8,Colorado,CO,2011,7.25,7.360000134,7.25,7.360000134,7.25,7.360000134
8,Colorado,CO,2012,7.25,7.639999866,7.25,7.639999866,7.25,7.639999866
8,Colorado,CO,2013,7.25,7.78000021,7.25,7.78000021,7.25,7.78000021
8,Colorado,CO,2014,7.25,8,7.25,8,7.25,8
8,Colorado,CO,2015,7.25,8.229999542,7.25,8.229999542,7.25,8.229999542
8,Colorado,CO,2016,7.25,8.31000042,7.25,8.31000042,7.25,8.31000042
9,Connecticut,CT,1974,2,2.00999999,2,2.00999999,2,2.00999999
9,Connecticut,CT,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
9,Connecticut,CT,1976,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
9,Connecticut,CT,1977,2.3,2.309999943,2.3,2.309999943,2.3,2.309999943
9,Connecticut,CT,1978,2.65,2.660000086,2.65,2.660000086,2.65,2.660000086
9,Connecticut,CT,1979,2.9,2.910000086,2.9,2.910000086,2.9,2.910000086
9,Connecticut,CT,1980,3.1,3.119999886,3.1,3.119999886,3.1,3.119999886
9,Connecticut,CT,1981,3.35,3.369999886,3.35,3.369999886,3.35,3.369999886
9,Connecticut,CT,1982,3.35,3.369999886,3.35,3.369999886,3.35,3.369999886
9,Connecticut,CT,1983,3.35,3.369999886,3.35,3.369999886,3.35,3.369999886
9,Connecticut,CT,1984,3.35,3.369999886,3.35,3.369999886,3.35,3.369999886
9,Connecticut,CT,1985,3.35,3.369999886,3.35,3.369999886,3.35,3.369999886
9,Connecticut,CT,1986,3.35,3.369999886,3.35,3.369999886,3.35,3.369999886
9,Connecticut,CT,1987,3.35,3.369999886,3.35,3.465780735,3.35,3.75
9,Connecticut,CT,1988,3.35,3.75,3.35,3.875683069,3.35,4.25
9,Connecticut,CT,1989,3.35,4.25,3.35,4.25,3.35,4.25
9,Connecticut,CT,1990,3.35,4.25,3.689041096,4.25,3.8,4.25
9,Connecticut,CT,1991,3.8,4.25,4.139041096,4.265068531,4.25,4.269999981
9,Connecticut,CT,1992,4.25,4.269999981,4.25,4.269999981,4.25,4.269999981
9,Connecticut,CT,1993,4.25,4.269999981,4.25,4.269999981,4.25,4.269999981
9,Connecticut,CT,1994,4.25,4.269999981,4.25,4.269999981,4.25,4.269999981
9,Connecticut,CT,1995,4.25,4.269999981,4.25,4.269999981,4.25,4.269999981
9,Connecticut,CT,1996,4.25,4.269999981,4.37568306,4.395682812,4.75,4.769999981
9,Connecticut,CT,1997,4.75,4.769999981,4.88369863,4.907041073,5.15,5.179999828
9,Connecticut,CT,1998,5.15,5.179999828,5.15,5.179999828,5.15,5.179999828
9,Connecticut,CT,1999,5.15,5.650000095,5.15,5.650000095,5.15,5.650000095
9,Connecticut,CT,2000,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
9,Connecticut,CT,2001,5.15,6.400000095,5.15,6.400000095,5.15,6.400000095
9,Connecticut,CT,2002,5.15,6.699999809,5.15,6.699999809,5.15,6.699999809
9,Connecticut,CT,2003,5.15,6.900000095,5.15,6.900000095,5.15,6.900000095
9,Connecticut,CT,2004,5.15,7.099999905,5.15,7.099999905,5.15,7.099999905
9,Connecticut,CT,2005,5.15,7.099999905,5.15,7.099999905,5.15,7.099999905
9,Connecticut,CT,2006,5.15,7.400000095,5.15,7.400000095,5.15,7.400000095
9,Connecticut,CT,2007,5.15,7.650000095,5.458767123,7.650000095,5.85,7.650000095
9,Connecticut,CT,2008,5.85,7.650000095,6.157923497,7.650000095,6.55,7.650000095
9,Connecticut,CT,2009,6.55,8,6.858767123,8,7.25,8
9,Connecticut,CT,2010,7.25,8.25,7.25,8.25,7.25,8.25
9,Connecticut,CT,2011,7.25,8.25,7.25,8.25,7.25,8.25
9,Connecticut,CT,2012,7.25,8.25,7.25,8.25,7.25,8.25
9,Connecticut,CT,2013,7.25,8.25,7.25,8.25,7.25,8.25
9,Connecticut,CT,2014,7.25,8.699999809,7.25,8.699999809,7.25,8.699999809
9,Connecticut,CT,2015,7.25,9.149999619,7.25,9.149999619,7.25,9.149999619
9,Connecticut,CT,2016,7.25,9.600000381,7.25,9.600000381,7.25,9.600000381
11,District of Columbia,DC,1974,2,2,2,2,2,2
11,District of Columbia,DC,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
11,District of Columbia,DC,1976,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
11,District of Columbia,DC,1977,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
11,District of Columbia,DC,1978,2.65,2.650000095,2.65,2.650000095,2.65,2.650000095
11,District of Columbia,DC,1979,2.9,2.900000095,2.9,2.900000095,2.9,2.900000095
11,District of Columbia,DC,1980,3.1,3.099999905,3.1,3.615027189,3.1,3.75
11,District of Columbia,DC,1981,3.35,3.75,3.35,3.775479555,3.35,3.900000095
11,District of Columbia,DC,1982,3.35,3.900000095,3.35,3.900000095,3.35,3.900000095
11,District of Columbia,DC,1983,3.35,3.900000095,3.35,3.900000095,3.35,3.900000095
11,District of Columbia,DC,1984,3.35,3.900000095,3.35,3.900000095,3.35,3.900000095
11,District of Columbia,DC,1985,3.35,3.900000095,3.35,3.900000095,3.35,3.900000095
11,District of Columbia,DC,1986,3.35,3.900000095,3.35,3.900000095,3.35,3.900000095
11,District of Columbia,DC,1987,3.35,3.900000095,3.35,3.93643856,3.35,4.849999905
11,District of Columbia,DC,1988,3.35,4.849999905,3.35,4.849999905,3.35,4.849999905
11,District of Columbia,DC,1989,3.35,4.849999905,3.35,4.849999905,3.35,4.849999905
11,District of Columbia,DC,1990,3.35,4.849999905,3.689041096,4.849999905,3.8,4.849999905
11,District of Columbia,DC,1991,3.8,4.849999905,4.139041096,4.849999905,4.25,4.849999905
11,District of Columbia,DC,1992,4.25,4.849999905,4.25,4.849999905,4.25,4.849999905
11,District of Columbia,DC,1993,4.25,4.849999905,4.25,4.950821877,4.25,5.25
11,District of Columbia,DC,1994,4.25,5.25,4.25,5.25,4.25,5.25
11,District of Columbia,DC,1995,4.25,5.25,4.25,5.25,4.25,5.25
11,District of Columbia,DC,1996,4.25,5.25,4.37568306,5.375682831,4.75,5.75
11,District of Columbia,DC,1997,4.75,5.75,4.88369863,5.883698463,5.15,6.150000095
11,District of Columbia,DC,1998,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,1999,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,2000,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,2001,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,2002,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,2003,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,2004,5.15,6.150000095,5.15,6.150000095,5.15,6.150000095
11,District of Columbia,DC,2005,5.15,6.599999905,5.15,6.599999905,5.15,6.599999905
11,District of Columbia,DC,2006,5.15,7,5.15,7,5.15,7
11,District of Columbia,DC,2007,5.15,7,5.458767123,7,5.85,7
11,District of Columbia,DC,2008,5.85,7,6.157923497,7.241940022,6.55,7.550000191
